  # 클립    슬러그                        역할      문장  상태
───────────────────────────────────────────────────────────────────────
  1 [01]  guest-1-arrival            안내       4  ✅ 7회차 · 4/4 고침
  2 [02]  guest-2-10min              안내       3  ✅ 7회차 · 2/3 고침
  3 [03]  guest-3-5min               안내       2  ✅ 7회차 · 2/2 고침
  4 [04]  guest-4-1min               안내       6  ✅ 7회차 · 3/6 고침
  5 [84]  narr-photo-ask             안내       2  ◻ 5회차 · 전부 유지
  6 [85]  narr-photo-send            안내       2  ✅ 5회차 · 2/2 고침
  7 [44]  end-0-photo                안내       1  ◻ 5회차 · 전부 유지
  8 [45]  end-1a-farewell            안내       3  ✅ 5회차 · 2/3 고침
  9 [47]  end-2-goodbye              안내       3  ✅ 5회차 · 2/3 고침
 10 [48]  online-3-welcome           안내       3  ✅ 6회차 · 3/3 고침
 11 [05]  entry-A                    진행       4  ✅ 1회차 · 3/4 고침
 12 [06]  entry-B                    진행       3  ◻ 1회차 · 전부 유지
 13 [07]  entry-C                    진행       4  ✅ 1회차 · 2/4 고침
 14 [08]  entry-D                    진행       4  ✅ 1회차 · 3/4 고침
 15 [09]  entry-E                    진행       4  ✅ 1회차 · 2/4 고침
 16 [10]  entry-F                    진행       4  ✅ 1회차 · 3/4 고침
 17 [11]  narr-welcome-in            진행       1  ✅ 6회차 · 1/1 고침
 18 [12]  narr-welcome-out           진행       1  ✅ 6회차 · 1/1 고침
 19 [13]  narr-vow-in                진행       3  ✅ 2회차 · 4/4 고침
 20 [14]  narr-vow-out               진행       1  ✅ 2회차 · 2/2 고침
 21 [15]  narr-ring-in               진행       1  ✅ 2회차 · 2/3 고침
 22 [16]  narr-ring-out              진행       1  ✅ 2회차 · 1/2 고침
 23 [20]  narr-letter-end            진행       1  ◻ 0회차 · 전부 유지
 24 [21]  narr-declare-family-intro  진행       1  ✅ 3회차 · 2/2 고침
 25 [22]  narr-bless-open            진행       2  ✅ 0회차 · 2/2 고침
 26 [23]  narr-bless-mid             진행       2  ✅ 0회차 · 2/2 고침
 27 [24]  narr-bless-end             진행       1  ✅ 0회차 · 1/1 고침
 28 [25]  narr-bless-end-long        진행       2  ✅ 0회차 · 2/2 고침
 29 [26]  narr-close                 진행       3  ✅ 5회차 · 3/3 고침
 30 [27]  letter-parent              진행       2  ✅ 0회차 · 2/2 고침
 31 [28]  letter-each                진행       2  ✅ 0회차 · 2/2 고침
 32 [29]  letter-both                진행       3  ✅ 0회차 · 3/3 고침
 33 [30]  declare-1-solemn           진행       5  ✅ 3회차 · 4/5 고침
 34 [31]  declare-2-warm             진행       5  ✅ 3회차 · 4/5 고침
 35 [32]  declare-family             진행       4  ✅ 3회차 · 1/4 고침
 36 [33]  declare-ask-a              진행       2  ✅ 3회차 · 1/2 고침
 37 [34]  declare-ask-b              진행       5  ✅ 3회차 · 2/6 고침
 38 [35]  declare-ask-c              진행       2  ✅ 3회차 · 1/3 고침
 39 [38]  tribute-in                 진행       2  ✅ 0회차 · 3/3 고침
 40 [39]  tribute-out                진행       1  ◻ 0회차 · 전부 유지
