번호	슬러그	문장	전	후	왜
26	narr-close	1	이제 다 같이 남기는 순서입니다.	다 같이 남기는 순서입니다.	「이제」가 18·20·21 연달아 셋
60	narr-photo-split	0	이제 나눠서 담겠습니다.	나눠서 담겠습니다.	위와 같음
61	narr-round-open	0	두 사람이 이제 여러분 곁으로 찾아뵙겠습니다.	두 사람이 여러분 곁으로 찾아뵙겠습니다.	위와 같음 · 문중이라 문두검사에 안 걸렸다
44	end-0-photo	0	여기서부터는 작가님이 안내해 드립니다.	여기서부터는 사진입니다.	60이 같은 말을 한다 · 안내 목소리가 한 문장만 끼어든다 ★코워크 안 「사진 순서입니다」는 바로 앞 26 「남기는 순서입니다」와 겹쳐 게이트가 잡았다 · 「남기다」는 26·63이 쓰고 「찍다」는 이 대본이 하객에게 안 쓰므로 동사를 뺐다
64	narr-final-call	0	두 사람 곁으로 모이시면 됩니다.	가까이 모여 주시면 됩니다.	26의 「두 사람 곁에」와 겹친다 · 어디로인지는 63이 말했다
45	end-1a-farewell	1	편히 일어나셔서 움직이세요.	편히 움직이셔도 좋습니다.	바로 앞 단체사진이라 하객이 이미 서 있다
11	narr-welcome-in	0	두 사람이 준비한 첫 인사가 있습니다.	이 자리 첫마디는 두 사람 몫입니다.	바로 뒤 07w가 「먼저 이렇게 인사드리고」 — 「인사」·「먼저」 둘 다 피했다
83	narr-entry-out-F	0	여기서부터는 같이 씁니다.	오늘부터는 한 사람의 이야기가 아닙니다.	목적어가 없어 서른여섯 조합 중 서른에서 뜻이 안 선다 · 선창 F 뒤에서만 「이야기」로 이어졌다
80	narr-entry-out-C	0	이제 두 사람 차례입니다.	지금부터는 두 사람의 시간입니다.	「차례」가 식순의 순서와 헷갈린다 · 이미 걸어 들어와 선 뒤라 「이제 차례」가 「아직 시작 안 했나」로 들린다
48	online-3-welcome	1	멀리 계신 분도 오늘을 같이 보시라고 연 자리입니다.	멀리 계셔도 오늘을 같이 보시라고 연 자리입니다.	한 클립에서 2인칭(#0 보고 계신 분들)에서 3인칭으로 흔들린다 [VOICE_2ND] 온라인판
