이벤트	갈래	판	지금 문면(저장소)	갈 문면	비고
entry	C	현행	귀한 걸음 해 주신 여러분 앞에, 이제 두 사람이 첫인사를 드리러 들어옵니다. 따뜻한 박수로 맞아 주시기 바랍니다.	귀한 걸음 해 주신 여러분 앞으로, 두 사람이 들어옵니다. 따뜻한 박수로 맞아 주십시오.	★현행으로 승격된 자리
entry	E	현행	부모님께는 여전히 아이 같은 두 사람이, 오늘 어른의 약속을 하러 들어옵니다. 가족의 마음으로 박수를 보내 주시기 바랍니다.	부모님께는 여전히 아이 같은 두 사람이, 오늘 어른의 약속을 하러 들어옵니다. 오늘은 어른으로 맞아 주시기 바랍니다.	★현행으로 승격된 자리
declare	1	warm	이 약속이 어떤 약속인지, 두 사람이 오늘 여기서 보여 드렸습니다. 이 자리의 모든 분이 그 증인입니다. 이제 두 사람은 부부입니다. 두 사람의 이름을 부르듯, 따뜻한 박수를 부탁드립니다.	오늘 두 사람이 어떤 약속을 했는지, 여기서 다 보셨습니다. 이 자리에 계신 모든 분이 그 증인입니다. 이제 두 사람은 부부입니다. 두 사람의 이름을 부르듯, 따뜻한 박수를 부탁드립니다.	
declare	2	warm	방금 두 사람이 나눈 약속을, 이 방의 모두가 들었습니다. 이제 무를 수 없습니다. 이제 두 사람은 부부입니다. 아끼지 말고, 큰 박수로 축하해 주시기 바랍니다.	방금 두 사람이 나눈 약속을, 이 자리의 모두가 들었습니다. 무를 수 없습니다. 이제 두 사람은 부부입니다. 아끼지 말고, 큰 박수로 축하해 주시기 바랍니다.	
declare	family	plain	오늘 우리 모두가 지켜보는 앞에서, 두 사람은 서로의 평생이 되었습니다. 이제 두 사람은 부부입니다. 모두 함께, 큰 박수를 보내 주시기 바랍니다.	오늘 우리가 지켜보는 앞에서, 두 사람은 서로의 평생이 되었습니다. 이제 두 사람은 부부입니다. 한 분도 빠짐없이, 큰 박수를 보내 주시기 바랍니다.	
declare	family	warm	두 사람이 만나, 오늘 우리는 한 가족이 되었습니다. 그 약속이 오늘 이 자리에서 이루어졌습니다. 이제 두 사람은 부부입니다. 다 같이 축하해 주시기 바랍니다.	두 사람이 만나, 오늘 우리는 한 가족이 되었습니다. 방금 그 약속이 이 자리에서 이루어졌습니다. 이제 두 사람은 부부입니다. 다 같이 축하해 주시기 바랍니다.	
letter	parent	warm	말로 하면 쑥스러워서, 두 사람이 글로 적어 왔습니다. 그 마음을 함께 들어 주시기 바랍니다. 두 사람의 목소리로 이어집니다.	말로 하면 쑥스러워서, 글로 적어 왔습니다. 그 글을 함께 들어 주세요. 두 분, 시작하시면 됩니다.	
letter	each	warm	매일 보는 사이라서, 오히려 못 한 말이 있었을 겁니다. 오늘 그 말이 나옵니다. 두 사람의 목소리로 이어집니다.	매일 보는 사이라서, 오히려 못 한 말이 있었을 겁니다. 오늘 그 말이 나옵니다.	
letter	both	warm	오늘 전할 마음이 두 곳에 있습니다. 키워 주신 분들께 먼저, 그리고 곁에 선 사람에게. 두 사람의 목소리로 이어집니다.	오늘 두 사람은 편지를 두 곳에 썼습니다. 키워 주신 분들께 먼저, 그리고 곁에 선 사람에게. 그 목소리로 이어집니다.	
tribute	flower	plain	이제, 두 사람이 부모님께 꽃을 드리러 갑니다. 두 사람이 천천히 다가갑니다.	두 사람이 부모님께 꽃을 드립니다. 천천히 다가갑니다.	
tribute	bow	plain	이제, 두 사람이 부모님께 큰절을 올립니다. 두 사람이 천천히 다가갑니다.	두 사람이 부모님께 큰절을 올립니다. 천천히 자리를 잡습니다.	
tribute	hug	plain	이제, 두 사람이 부모님께 갑니다. 말없이 안아 드리는 자리입니다. 두 사람이 천천히 다가갑니다.	두 사람이 부모님께 갑니다. 말없이 안아 드리는 자리입니다.	
tribute	flower	warm	고맙다는 말은 늘 짧고, 받은 것은 늘 깁니다. 오늘은 꽃 한 다발에 그 마음을 담았습니다. 두 분, 부모님께 다가가 주세요.	고맙다는 말은 늘 짧고, 받은 것은 늘 깁니다. 그 긴 것을 오늘 꽃 한 다발에 담았습니다. 두 분, 부모님께 다가가 주세요.	
tribute	bow	warm	말보다 오래된 인사가 있습니다. 두 사람이 오늘, 가장 깊은 인사를 올립니다. 두 분, 부모님 앞으로 다가가 주세요.	말보다 오래된 인사가 있습니다. 두 사람이 오늘 가장 깊은 절을 올립니다. 두 분, 부모님 앞에 서 주세요.	
tribute	hug	warm	어릴 때는 안겨서 컸고, 오늘은 안아 드리러 갑니다. 두 분, 부모님께 다가가 주세요.	안겨서 크던 두 사람이, 오늘은 안아 드립니다. 두 분, 부모님께 가 주세요.	
toast	toast	warm	오늘 같은 날은, 소리 내서 축하해야 합니다. 잔을 손에 들어 주시기 바랍니다. 제 말 끝에 위하여, 하면 다 함께 위하여, 하고 답해 주시면 됩니다. 목소리가 클수록 두 사람이 오래 기억합니다. 그럼, 두 사람의 새로운 시작을 위하여!	오늘 같은 날은 소리 내서 축하해야 합니다. 잔을 들어 주십시오. 제 말 끝에 위하여, 하면 다 함께 위하여, 하고 답해 주시면 됩니다. 목소리가 클수록 두 사람이 오래 기억합니다. 두 사람의 새로운 시작을 위하여!	
toast	cake	warm	서두를 일이 없습니다. 두 분, 나이프를 함께 잡아 주세요. 오늘 가장 달콤한 한 조각입니다.	서두를 일이 없습니다. 두 분, 나이프를 함께 잡아 주세요. 오늘 가장 달콤한 한 조각입니다. 자르고 나면, 박수 부탁드립니다.	
toast	both	warm	두 분, 케이크 앞에서 나이프를 함께 잡아 주세요. 서두를 일이 없습니다. 오늘 가장 달콤한 한 조각입니다. 이 기쁨은 나눠야 커집니다. 두 분께 잔을 드리는 동안, 여러분도 잔을 들어 주시기 바랍니다. 제 말 끝에 위하여, 하면 다 함께 위하여, 하고 답해 주시면 됩니다. 그럼, 두 사람의 새로운 시작을 위하여!	두 분, 케이크 앞에서 나이프를 함께 잡아 주세요. 서두를 일이 없습니다. 오늘 가장 달콤한 한 조각입니다. 자르고 나면, 박수 부탁드립니다. 이 기쁨은 나눠야 커집니다. 두 분께 잔을 전해 드리는 동안, 하객 여러분께서도 잔을 들어 주시기 바랍니다. 제 말 끝에 위하여, 하면 다 함께 위하여, 하고 답해 주시면 됩니다. 두 사람의 새로운 시작을 위하여!	
